dataset,seed,limit_dummies,iteration,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_depth,param_learning_rate,param_min_data_in_leaf,param_n_estimators,param_random_strength,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,exp_name
credit-g,0,,0,2.500409746170044,0.18177590797890647,0.01202983856201172,0.0027933135477090144,9,0.6335601564025165,65,117,4,0.6943824404761905,0.730654761904762,0.7021949404761905,0.6804315476190477,0.7379092261904762,0.7091145833333334,0.021820837648358512,828,0.9672967819940477,0.9445335751488095,0.9276646205357143,0.972284226190476,0.9462076822916666,0.9515973772321429,0.016285821957870938,CATBOOST
credit-g,0,,1,0.8609145164489747,0.009713543543301239,0.012298917770385743,0.0023924874998951847,6,0.6612073271073751,37,137,7,0.7470238095238095,0.6921502976190477,0.7375372023809523,0.74609375,0.6984747023809523,0.7242559523809524,0.0239461990493007,577,0.9562523251488095,0.9627976190476191,0.9436848958333334,0.9771321614583333,0.967982700892857,0.9615699404761904,0.011251357850324939,CATBOOST
credit-g,0,,2,0.4049672603607178,0.034657648918523194,0.014148759841918945,0.0030051923910731607,5,0.9672964844509263,59,89,15,0.7286086309523809,0.7405133928571428,0.7113095238095238,0.7401413690476191,0.7092633928571428,0.7259672619047619,0.013515477029356595,543,0.9389880952380952,0.9696335565476191,0.8982631138392858,0.9652273995535714,0.9568568638392857,0.9457938058035713,0.02597642742790001,CATBOOST
credit-g,0,,3,0.5441567420959472,0.010756933442701512,0.014681386947631835,0.004357332017021621,5,0.4535063164907468,26,127,9,0.7101934523809523,0.7308407738095238,0.7994791666666666,0.7274925595238094,0.7127976190476191,0.7361607142857143,0.032658224065310965,363,0.9751674107142858,0.9665062313988095,0.9609840029761905,0.9625999813988094,0.9496256510416666,0.9629766555059524,0.008287753449828048,CATBOOST
credit-g,0,,4,0.7502359390258789,0.02478999034205339,0.013322114944458008,0.001912777440606074,6,0.6833546848460774,81,129,16,0.7431175595238094,0.6620163690476191,0.6973586309523809,0.7293526785714285,0.695126488095238,0.7053943452380952,0.02845590639894042,887,0.9538341703869048,0.9550548735119047,0.9249325706845237,0.9891996837797619,0.9641694568452381,0.9574381510416666,0.02063679666223773,CATBOOST
credit-g,0,,5,0.34909706115722655,0.019836765377755302,0.011678171157836915,0.0016563886633450106,5,0.9807565080094875,89,79,20,0.7066592261904763,0.711123511904762,0.7500000000000001,0.7803199404761905,0.7351190476190474,0.7366443452380953,0.026976574892582074,356,0.9456845238095238,0.9455101376488095,0.9442545572916666,0.9787132626488094,0.9555547805059523,0.9539434523809524,0.013033382259433457,CATBOOST
credit-g,0,,6,0.50538649559021,0.03289975946602421,0.009757518768310547,0.0012018617432331396,8,0.20644698328203992,33,59,1,0.7451636904761905,0.6947544642857143,0.7942708333333333,0.7351190476190476,0.7046130952380952,0.7347842261904762,0.0350975235443007,400,0.9305013020833333,0.9243396577380953,0.9234095982142857,0.9340006510416666,0.9234561011904762,0.9271414620535714,0.0043288751062699775,CATBOOST
credit-g,0,,7,1.2124087333679199,0.06017021380852088,0.011650896072387696,0.001238441716976543,7,0.4731957459914713,36,164,3,0.7594866071428572,0.6824776785714286,0.6551339285714285,0.7278645833333334,0.7594866071428571,0.716889880952381,0.04182679424442991,702,0.9687848772321428,0.9502069382440477,0.9579961867559523,0.9828055245535714,0.9658319382440476,0.9651250930059524,0.01095320917634975,CATBOOST
credit-g,0,,8,0.7324257373809815,0.03648345348001547,0.010442638397216797,0.001310392936705825,5,0.11691082039271963,54,183,7,0.7537202380952381,0.711123511904762,0.7749255952380953,0.765625,0.7546502976190476,0.7520089285714285,0.021872785460466688,100,0.9457077752976191,0.94873046875,0.9328380766369048,0.9501139322916666,0.9266415550595238,0.9408063616071429,0.009355014827593449,CATBOOST
credit-g,0,,9,0.7985727310180664,0.04002982083392852,0.01145467758178711,0.0011217300956453873,5,0.6552405971872812,80,182,10,0.7390252976190476,0.7433035714285715,0.7219122023809524,0.7544642857142857,0.6841517857142857,0.7285714285714285,0.024552838643466416,505,0.9553687686011905,0.97119140625,0.9549153645833334,0.9850492931547619,0.9757138206845237,0.9684477306547619,0.011748360544551107,CATBOOST
credit-g,0,,10,0.8206940650939941,0.01883934449797746,0.010689210891723634,0.0013093732466032603,7,0.42355711051640743,2,115,8,0.7658110119047619,0.7185639880952381,0.7829241071428572,0.7380952380952381,0.7347470238095238,0.7480282738095239,0.023139342648002968,151,0.97265625,0.957217261904762,0.9523228236607143,0.9788992745535714,0.9650530133928571,0.9652297247023809,0.009724492301399327,CATBOOST
credit-g,0,,11,0.834266471862793,0.03621826393954778,0.012170982360839844,0.001668297807280981,6,0.9728281609720739,12,132,1,0.6742931547619048,0.7293526785714286,0.7581845238095237,0.7265625000000001,0.7287946428571428,0.7234375,0.027188145485208908,591,0.9604840959821428,0.9641229538690476,0.9432314918154762,0.9630533854166666,0.9634835379464286,0.9588750930059524,0.007918927764051112,CATBOOST
credit-g,0,,12,1.596168041229248,0.07705712919783655,0.01241302490234375,0.002541592635032496,8,0.42733969384836035,43,134,12,0.6982886904761904,0.7429315476190476,0.759672619047619,0.7663690476190476,0.6763392857142857,0.728720238095238,0.03534766562699406,499,0.9775390625,0.9612513950892857,0.9617164248511904,0.9698079427083334,0.9579264322916666,0.9656482514880953,0.007114949278319871,CATBOOST
credit-g,0,,13,3.9827688217163084,0.02596445901830295,0.011908912658691406,8.642069183795299E-4,9,0.9630543417620683,48,177,4,0.7020089285714286,0.7215401785714285,0.7299107142857143,0.7306547619047619,0.7263764880952381,0.7220982142857143,0.010549351587324294,618,0.9617396763392857,0.9503580729166666,0.9292689732142858,0.9719935825892856,0.9646461123511905,0.9556012834821429,0.014893475667107548,CATBOOST
credit-g,0,,14,4.192999172210693,0.18219597943120736,0.01233530044555664,4.969674550680711E-4,9,0.6877974929188586,79,193,4,0.773623511904762,0.765438988095238,0.708891369047619,0.7133556547619048,0.7135416666666666,0.7349702380952381,0.02838626991946067,393,0.9721795944940477,0.9685872395833334,0.9304082961309523,0.9807361421130951,0.9738885788690477,0.9651599702380951,0.017818562747991245,CATBOOST
credit-g,0,,15,1.3171420097351074,0.09630144143104982,0.012735080718994141,0.0017702746913901767,7,0.24307262528096776,14,167,17,0.7118675595238095,0.7323288690476191,0.8046875000000001,0.7725074404761905,0.7018229166666666,0.7446428571428572,0.03857770309231341,199,0.9868280319940477,0.9618326822916666,0.960507347470238,0.9838053385416666,0.9599144345238095,0.9705775669642858,0.012088310689469596,CATBOOST
credit-g,0,,16,0.8429893970489502,0.03264912018000786,0.011516618728637695,0.0023872553872944266,6,0.8005109338233182,36,145,6,0.6850818452380951,0.6891741071428571,0.7325148809523809,0.6848958333333333,0.7100074404761905,0.7003348214285714,0.018572522551531745,937,0.972226097470238,0.9656924293154763,0.9598330543154762,0.9796781994047619,0.9646693638392857,0.9684198288690476,0.006877150300553233,CATBOOST
credit-g,0,,17,0.4395754814147949,0.03891705595712927,0.01248183250427246,0.0019624599551389095,5,0.6605614859920025,37,98,4,0.7282366071428571,0.6478794642857143,0.7589285714285714,0.7672991071428571,0.7912946428571429,0.7387276785714285,0.04970140632955172,314,0.9684128534226191,0.9545665922619048,0.9398367745535715,0.9599958147321428,0.9417666480654762,0.9529157366071429,0.01084780976925905,CATBOOST
credit-g,0,,18,1.403761053085327,0.045107448705373136,0.010610103607177734,0.0016508162538032207,7,0.5586619390479102,22,177,1,0.7728794642857143,0.6902901785714285,0.7109374999999999,0.7204241071428571,0.7369791666666666,0.7263020833333333,0.027752228143244365,535,0.9791782924107143,0.9601469494047619,0.9400692894345238,0.978701636904762,0.9770740327380951,0.9670340401785713,0.015224630887174366,CATBOOST
credit-g,0,,19,1.2818591594696045,0.05987124356825275,0.010892009735107422,0.001808812775634541,7,0.3545262663187686,59,177,3,0.687313988095238,0.7202380952380952,0.7725074404761905,0.7274925595238094,0.7367931547619048,0.7288690476190476,0.027460196050544776,496,0.9773763020833334,0.9692499069940477,0.9625651041666667,0.9724586123511905,0.9518926711309524,0.9667085193452382,0.008831772833996521,CATBOOST
credit-g,0,,20,1.009410285949707,0.01651463977454849,0.011540842056274415,0.002148941528745206,6,0.3861848614545784,36,173,4,0.7241443452380952,0.7072172619047619,0.7609747023809523,0.7607886904761905,0.7263764880952381,0.7359002976190476,0.021446583761482035,372,0.9629138764880952,0.9690987723214285,0.9571475074404762,0.9681687127976191,0.9466494605654762,0.960795665922619,0.00826092486841373,CATBOOST
credit-g,0,,21,0.7654776573181152,0.027272138744432017,0.011310386657714843,0.0021604263539750763,7,0.6086699799443878,21,100,15,0.7081473214285714,0.6700148809523809,0.8106398809523809,0.7371651785714285,0.7248883928571429,0.7301711309523808,0.04616463224254348,473,0.9691685267857143,0.9795851934523809,0.9586588541666667,0.9652971540178571,0.9399879092261906,0.9625395275297619,0.013158555966289058,CATBOOST
credit-g,0,,22,0.3505574703216553,0.023958403423901337,0.010815715789794922,0.0016696573893246114,6,0.9290418492134798,37,60,12,0.7388392857142858,0.6060267857142857,0.8097098214285715,0.7103794642857143,0.7299107142857143,0.7189732142857144,0.06569348497705939,671,0.9413364955357143,0.9253569103422619,0.9408830915178571,0.9441382998511905,0.9359421502976191,0.9375313895089284,0.006634871916665599,CATBOOST
credit-g,0,,23,0.5729023933410644,0.01706871007123448,0.012042617797851563,0.0014599094773142256,5,0.7006693419673136,52,130,1,0.6711309523809524,0.6584821428571428,0.8050595238095238,0.7429315476190476,0.6795014880952381,0.7114211309523809,0.05514662913609222,798,0.969540550595238,0.9636928013392856,0.9405226934523809,0.9757370721726191,0.9617396763392857,0.9622465587797618,0.011911936369194702,CATBOOST
credit-g,0,,24,0.3662968635559082,0.017840224154595657,0.012623167037963868,0.002298559429061092,5,0.3382571478551047,47,92,20,0.7477678571428572,0.7263764880952381,0.7922247023809524,0.7498139880952381,0.7319568452380951,0.7496279761904763,0.023112231797148584,131,0.926664806547619,0.9509393601190476,0.9285830543154762,0.9576474144345238,0.8955775669642856,0.9318824404761905,0.02183187377626307,CATBOOST
credit-g,0,,25,0.3320499897003174,0.010661544817991947,0.010628414154052735,0.0024552754478208076,5,0.24844641421769573,78,80,3,0.7490699404761906,0.6979166666666665,0.7764136904761905,0.7821800595238094,0.738467261904762,0.7488095238095237,0.03024134844060287,140,0.9466029575892857,0.935116722470238,0.9152018229166667,0.9342447916666667,0.9158179873511906,0.9293968563988096,0.012150340921841304,CATBOOST
credit-g,0,,26,2.0051113605499267,0.05051254754308054,0.016466188430786132,0.0045353679000550975,8,0.7333635513609246,14,162,9,0.7131696428571429,0.6679687499999999,0.7453497023809524,0.6824776785714286,0.7008928571428571,0.7019717261904762,0.026624899612433625,920,0.9701334635416666,0.9571591331845238,0.9701915922619049,0.9869791666666667,0.9734933035714286,0.9715913318452382,0.009516049243386991,CATBOOST
credit-g,0,,27,0.5718200206756592,0.030272277718681104,0.012751245498657226,4.035291636130811E-4,5,0.6185416009760532,73,117,13,0.726376488095238,0.7198660714285715,0.6925223214285715,0.7101934523809524,0.6897321428571428,0.7077380952380953,0.01453437557819837,850,0.9706682477678571,0.9701567150297619,0.9549734933035714,0.9827125186011905,0.9725748697916666,0.9702171688988097,0.008879969483666181,CATBOOST
credit-g,0,,28,7.553250932693482,0.49652807280980077,0.016677713394165038,0.01049370064142417,10,0.5024128407558647,5,189,14,0.7267485119047619,0.7092633928571429,0.7429315476190477,0.7386532738095238,0.7295386904761905,0.7294270833333334,0.011672658317786837,488,0.9815150669642857,0.9724469866071428,0.9445917038690477,0.9806896391369048,0.98291015625,0.9724307105654763,0.014391419477846926,CATBOOST
credit-g,0,,29,0.4324293613433838,0.03425089965505909,0.012287330627441407,0.003189202525727467,6,0.4568551667622862,57,66,15,0.7312127976190477,0.6886160714285713,0.8147321428571429,0.7325148809523809,0.6888020833333334,0.7311755952380953,0.04602242778970325,459,0.9649600074404762,0.9417201450892858,0.9173177083333334,0.9597051711309524,0.9293038504464286,0.9426013764880953,0.017940528488408398,CATBOOST
credit-g,0,,30,0.8799741744995118,0.02082406669572268,0.012069416046142579,0.0025525943247381375,6,0.6296185765618745,62,133,2,0.7003348214285715,0.6294642857142856,0.7315848214285715,0.6971726190476191,0.72265625,0.6962425595238095,0.03584329223805071,962,0.9697963169642857,0.9732026599702381,0.9562290736607143,0.9826776413690476,0.9580078125,0.9679827008928571,0.009839965479461619,CATBOOST
credit-g,0,,31,0.39537711143493653,0.017639100206946225,0.013564300537109376,0.002030129782111331,5,0.4814695437023617,71,81,14,0.6861979166666667,0.7310267857142857,0.73828125,0.742001488095238,0.7241443452380951,0.7243303571428571,0.02002925886476499,576,0.9613211495535714,0.9577520461309524,0.9279320126488095,0.9574381510416666,0.9424293154761905,0.9493745349702379,0.012537496039668106,CATBOOST
credit-g,0,,32,0.3363202571868896,0.021581456454178548,0.013967180252075195,0.0063708408966295415,5,0.4451160025314531,42,68,9,0.7289806547619048,0.7260044642857143,0.7907366071428571,0.7300967261904762,0.7047991071428571,0.736123511904762,0.028822026938085523,366,0.9458356584821429,0.9363955543154762,0.9461611793154762,0.9672037760416666,0.941371372767857,0.9473935081845237,0.010522483993723302,CATBOOST
credit-g,0,,33,1.9432629585266112,0.10935154264053248,0.015583038330078125,0.004082997697208772,8,0.1831365005148084,94,179,13,0.7513020833333333,0.7174479166666666,0.7797619047619048,0.7513020833333334,0.7447916666666667,0.748921130952381,0.019849971740092818,138,0.9706101190476191,0.9683663504464286,0.9564964657738095,0.9762718563988095,0.9480794270833334,0.96396484375,0.0102285740705796,CATBOOST
credit-g,0,,34,0.27514190673828126,0.011595086903187042,0.012351751327514648,0.0021108530030026777,5,0.68689294300152,68,53,11,0.7098214285714286,0.7105654761904762,0.6778273809523809,0.7347470238095238,0.7321428571428571,0.7130208333333333,0.020457385987459626,772,0.9370000930059524,0.9331519717261905,0.890101841517857,0.9623093377976191,0.938290550595238,0.9321707589285714,0.0234088224589956,CATBOOST
credit-g,0,,35,1.8782074928283692,0.023039732002500528,0.012405681610107421,0.002591672646537199,9,0.49227843273906413,87,93,1,0.7293526785714286,0.7008928571428572,0.7899925595238096,0.7088913690476191,0.6549479166666666,0.7168154761904761,0.04394538237743252,704,0.9773065476190477,0.9636462983630952,0.9685872395833334,0.9780505952380953,0.9573683965773808,0.9689918154761905,0.007937737248597242,CATBOOST
credit-g,0,,36,2.1715057849884034,0.09696530257955364,0.013181114196777343,0.0019274702478412028,8,0.9275343523702062,11,175,16,0.7072172619047619,0.7025669642857143,0.7466517857142858,0.7325148809523809,0.7393973214285714,0.7256696428571429,0.01760557231336175,547,0.9748418898809523,0.9604840959821428,0.9325474330357142,0.9832240513392856,0.9644484747023808,0.963109188988095,0.017233512027766556,CATBOOST
credit-g,0,,37,0.4587862014770508,0.013669682749007771,0.012093257904052735,5.538124459172123E-4,5,0.24624364120873735,84,103,20,0.7561383928571428,0.75,0.8206845238095238,0.755766369047619,0.7382812499999999,0.7641741071428572,0.028982875358106352,8,0.9377790178571429,0.9554036458333334,0.9350353422619048,0.9525204613095238,0.9139694940476191,0.9389415922619048,0.014802708873270532,CATBOOST
credit-g,0,,38,1.579836368560791,0.059833460499537264,0.013944768905639648,8.196553851960244E-4,9,0.47025705137990914,68,85,8,0.701264880952381,0.7412574404761905,0.7328869047619048,0.7542782738095238,0.6943824404761905,0.7248139880952381,0.023170424165650398,563,0.9585658482142857,0.9640299479166666,0.9380464099702381,0.9798874627976191,0.9535319010416667,0.9588123139880953,0.01364222765604999,CATBOOST
credit-g,0,,39,1.0898650646209718,0.08323422241329241,0.01232285499572754,0.001887320914372019,6,0.9843174638426743,24,181,15,0.6852678571428571,0.6493675595238095,0.6763392857142858,0.7366071428571428,0.7462797619047619,0.6987723214285715,0.0369184852316544,950,0.969633556547619,0.9666573660714286,0.9153994605654762,0.9875023251488095,0.9609723772321428,0.9600330171130953,0.024015211879304093,CATBOOST
credit-g,0,,40,0.3940609931945801,0.020015691867172093,0.010915660858154297,0.001294416247586059,7,0.1455293035488135,4,81,10,0.7529761904761906,0.7178199404761905,0.7935267857142857,0.7687872023809526,0.7635788690476191,0.7593377976190476,0.024659145773394633,31,0.8967052641369048,0.8978562127976191,0.8835565476190477,0.8823474702380951,0.8916713169642858,0.8904273623511904,0.006459722045237074,CATBOOST
credit-g,0,,41,0.7772819042205811,0.03300184098078507,0.011168432235717774,0.0019845169540521706,7,0.30766810186611615,72,111,2,0.6940104166666666,0.7096354166666665,0.7496279761904762,0.7087053571428573,0.7036830357142857,0.7131324404761904,0.019071944915837302,769,0.9747605096726191,0.961518787202381,0.971981956845238,0.9679361979166666,0.9589146205357143,0.9670224144345237,0.006022232371898293,CATBOOST
credit-g,0,,42,1.4569200038909913,0.039052899980260895,0.016102170944213866,0.003915976923524984,9,0.4054634375045667,89,83,6,0.7103794642857144,0.6763392857142857,0.7704613095238096,0.7546502976190477,0.7706473214285714,0.7364955357142857,0.03728387651169756,359,0.9607863653273809,0.9517182849702381,0.9660993303571429,0.9570312499999999,0.948184058779762,0.9567638578869048,0.006363550418905059,CATBOOST
credit-g,0,,43,0.3906548023223877,0.022710805025069752,0.012322998046875,0.003189381571269099,5,0.26154123482607017,1,84,6,0.7369791666666666,0.7300967261904762,0.7622767857142857,0.7542782738095238,0.7838541666666667,0.7534970238095238,0.01907702401512163,83,0.9469284784226191,0.9231189546130951,0.9262346540178571,0.944428943452381,0.9155970982142857,0.9312616257440476,0.012294547483317046,CATBOOST
credit-g,0,,44,8.057858991622926,0.44277223302066304,0.014540004730224609,0.0040912961024817725,10,0.9497077758258071,63,186,2,0.7014508928571429,0.780877976190476,0.7533482142857142,0.75,0.78125,0.7533854166666666,0.029123643408257023,85,0.9688662574404762,0.974760509672619,0.9400809151785713,0.9854561941964286,0.9745628720238096,0.9687453497023808,0.01530321838296128,CATBOOST
credit-g,0,,45,1.0202836990356445,0.02636006165769101,0.012250614166259766,0.002567432311655422,6,0.2482247408481215,92,166,5,0.7243303571428571,0.6919642857142858,0.7593005952380953,0.7695312499999999,0.7514880952380952,0.7393229166666667,0.02802591436622404,299,0.9737490699404763,0.9656226748511905,0.9686221168154762,0.9760509672619048,0.943603515625,0.9655296688988095,0.011563601120240056,CATBOOST
